song_title,artist
あわてんぼうのサンタクロース,童謡
好き！雪！本気マジック,Mitchie M
初めての恋が終わる時,ryo
イタズラーニャ！,白銀ノエル
すてきなホリデイ,竹内まりや
IN MY DREAM,真行寺恵里
Starduster,ジミーサムP
チキンライス,浜田雅功と槇原敬之
Snow halation,μ's
OURS,白銀ノエル
お肉食べようのうた,ハル&チッチ歌族
おにくじゃぽねすく！,ゼウシくん（cv: 花澤香菜）
黒毛和牛上塩タン焼680円,大塚愛
ぎゅーどんかーにばる!,白銀ノエル
はっぴー,白銀ノエル
お願いマッスル,紗倉ひびき（ファイルーズあい）&街雄鳴造（石川界人）
BANG！BANG！バカンス!,SMAP
キャットラビング,香椎モイミ
PAKU,asmi
ワールドワイドワンダー,TOKOTOKO
マーシャルマキシマイザー,柊マグネタイト
アイドル,YOASOBI
Deep in Abyss,リコ(CV:富田美憂)、レグ(CV:伊瀬茉莉也)
かたち,安月名莉子
旅の左手、最果ての右,リコ(CV.富田美憂)、レグ(CV.伊瀬茉莉也)、ナナチ(CV.井澤詩織)
変わらないもの,奥華子
ラフミーテンダー,白銀ノエル
愛言葉Ⅳ,DECO*27
ふわふわ,牧野由依
ゴールデンタイムラバー,スキマスイッチ
あつまれ！パーティーピーポー,ヤバイTシャツ屋さん
リリカルMonster,白銀ノエル
Candy-Go-Round,hololive IDOL PROJECT
Suspect,hololive IDOL PROJECT
でいり〜だいあり〜,hololive IDOL PROJECT
鳥の詩,Lia
太陽少女,大空スバル
はっぴー,白銀ノエル
かつて天才だった俺たちへ,Creepy Nuts
ヨワネハキ,MAISONdes
No Logic,ジミーサムP
眠るサカナ,花澤香菜
お願いジュンブライト,牧野由依
マシンガントーク,ポルノグラフィティ
YONA YONA DANCE,和田アキ子
エゴロック,すりぃ
シリウス,藍井エイル
リリカルMonster,白銀ノエル
ラブミーギミー,ryo
ゲッターロボ!,ささきいさお
惑星ループ,Eve
Booo!,TOKOTOKO
コネクト,ClariS
ルミナス,ClariS
Zzz,佐咲紗花
マイペース,SunSet Swish
ほめのび,白銀ノエル
シャカビーチ 〜Laka Laka La〜,UVERworld
日本全国酒飲み音頭,バラクーダ
レッツゴー! 陰陽師,矢部野彦麿&琴姫With坊主ダンサーズ
ドキッ！こういうのが恋なの？,えり～な(キャナァーリ倶楽部)
ハロ/ハワユ,ナノウ
ナイショの話,ClariS
風になる,つじあやの
ファンサ,mona（CV：夏川椎菜）
