title,video_id,type
トレビアンナイト,p9NBMIUOGM0,original
REALITY FANTASY,e760LRzuBEs,original
ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.,QNW7yHDYldY,original
Merry Holy Date♡,XZJtMLMG_QA,original
なかま歌,ESsV1gDBqYI,original
アバンチュール♡ホリック,oLp3GDZcBCc,original
いんたらくとふぁんたじあ,F61eDAXtmnw,original
でいり～だいあり～！,VVrsojWq0Dw,cover
神っぽいな,lYJXHR40j5w,cover
Wander!,jupJ5t0Gdy8,original
ブタサンダー,FIx7rTEGNvg,cover
ぎゅーどんかーにばる！,65HJRp_GAig,original
寝起きヤシの木,K7r8CD8k_Ho,cover
はっぴー,5VUi-HNrv4w,original
ours,y_yPKWliYfk,original
リリカルMonster,qIRKvXbbbsk,original
ほめのび,LMYIam2RFkg,original
astro,Bq8-XeogJzo,original
水たまり,v7XbruOYI8g,original
ウェカピポ,-l-tjkhs3Uk,cover
ナイショの話,YVdA-QCcXYc,cover
おちゃめ機能,9kQ2GtvDV3s,cover
ミラクルショッピング ～ドン・キホーテのテーマ～,0p7P9XRoeEo,cover
ふ･れ･ん･ど･し･た･い,N_eK0ujrhmY,cover
Shiny Smily Story - 2022 ver.,vQOPE6kHeoU,original
ホロライブ言えるかな？ Beyond the Stage ver.,mZ0sJQC8qkE,original
佐賀事変,-wNSFmqhQsU,cover
お願いマッスル,O-SXhtYjprc,cover
